Month,Date,Day,Info
5,24,Saturday,"TFM Southern Pines, 12pm-4pm"
5,24,Saturday,"TFM Asheville, NC 2pm-5pm"
5,25,Sunday,BYOB Cocktail Emporium (Toronto)  1pm-4pm
5,26,Monday,MEMORIAL DAY
5,27,Tuesday,
5,28,Wednesday,
5,29,Thursday,"West Elm Broadway, 4pm-7pm"
5,30,Friday,"Macys Chicago, IL 4pm-7pm"
5,30,Friday,Fairway Chelsea 3pm-6pm
5,31,Saturday,
6,1,Sunday,
6,2,Monday,
6,3,Tuesday,WFM Tribeca 4pm-7pm
6,4,Wednesday,
6,5,Thursday,
6,6,Friday,
6,7,Saturday,Southern Seasons Chapel Hill event w sampling (no rep)
6,8,Sunday,
6,9,Monday,
6,10,Tuesday,
6,11,Wednesday,
6,12,Thursday,"West Elm Broadway, 4pm-7pm (NINA)"
6,13,Friday,
6,14,Saturday,
6,15,Sunday,Olives & Grace 12pm-3pm
6,16,Monday,
6,17,Tuesday,
6,18,Wednesday,Union Market Houston 4pm-7pm
6,19,Thursday,WFM Tribeca 4pm-7pm
6,20,Friday,WFM University Heights 3pm-6pm
6,21,Saturday,Brooklyn Victory Garden 1:30pm-3:30pm
6,22,Sunday,TFM (30 demos w Interactions) 12pm-4pm
6,22,Sunday,Foragers Market Chelsea 11am-2pm
6,23,Monday,
6,24,Tuesday,WFM Chelsea 4pm-7pm
6,25,Wednesday,
6,26,Thursday,Union Market Houston 4pm-7pm
6,26,Thursday,Di Bruno Bros. Franklin 5pm-7pm
6,27,Friday,Williams-Sonoma Boston 3pm-6pm
6,28,Saturday,DiBrunos Rittenhouse 2pm-5pm
6,29,Sunday,Williams-Sonoma DC 3pm-6pm
6,30,Monday,
7,1,Tuesday,WFM Bowery 4pm-7pm (Mirus)
7,2,Wednesday,Southern Season Chapel Hill 3pm-6pm (Mirus)
7,2,Wednesday,Union Market Houston 4pm-7pm
7,3,Thursday,WFM Chelsea 4pm-7pm
7,4,Friday,
7,5,Saturday,"BB&B 12pm-4pm (Farmington Hills, East Havover, 61st St, Shaumburg) (Mirus)"
7,5,Saturday,"Williams-Sonoma Costa Mesa, CA 1pm-4pm (Mirus)"
7,6,Sunday,"DiBrunos (Ardmore) 2pm-5pm BB&B West LA, Tysons Corner, Wodbirdge 12pm-4pm"
7,7,Monday,WFM University Heights 4pm-7pm
7,8,Tuesday,Westerly Market 4pm-7pm
7,9,Wednesday,
7,10,Thursday,Williams-Sonoma 59th St. 2pm-5pm
7,11,Friday,
7,12,Saturday,Fairway Market Red Hook 12pm-3pm
7,12,Saturday,Union Market 2pm-5pm
7,12,Saturday,Bantam Market 2pm-5pm (Nina)
7,12,Saturday,"TFM Westport CT, 11am-1pm"
7,13,Sunday,"Williams-Sonoma Short Hills, NJ 1pm-4pm(Mirus)"
7,13,Sunday,Foragers Chelsea 2pm-5pm
7,14,Monday,
7,15,Tuesday,
7,16,Wednesday,
7,17,Thursday,
7,18,Friday,Southern Season Charleston 3pm-6pm
7,19,Saturday,Savory Pantry (NY opening) 1pm-4pm
7,19,Saturday,Plum Market Old Town Chicago
7,19,Saturday,Williams-Sonoma Beverly Hills 1pm-5pm
7,20,Sunday,
7,21,Monday,
7,22,Tuesday,WFM Bowery 4pm-7pm
7,22,Tuesday,WS Columbus Circle 4pm-7pm
7,23,Wednesday,
7,24,Thursday,DiBrunos Franklin 5pm-7pm
7,24,Thursday,local night @ WFM West Hartford 3pm-6pm
7,24,Thursday,WFM Melrose block party 4pm-6pm
7,25,Friday,WFM Darien 3pm-7pm
7,26,Saturday,"Williams-Sonoma Philly, 2pm-5pm"
7,26,Saturday,Plum Market West Bloomfield
7,26,Saturday,Northville Market 1pm-4pm
7,26,Saturday,TFM Ashville 2pm-5pm
7,26,Saturday,TFM Tampa 12pm-3pm
7,26,Saturday,"BB&B Shaumburg, 61st St 12pm-4pm"
7,27,Sunday,NoFo at the Pig 11am  2pm
7,27,Sunday,Salazon Chocolate Co. 12pm-3pm
7,28,Monday,
7,29,Tuesday,Westerly Market 4pm-7pm
7,30,Wednesday,
7,31,Thursday,
8,1,Friday,
8,2,Saturday,Lukes Drug Mart 1pm-4pm
8,3,Sunday,Fairway Red Hook 12pm-3pm
8,4,Monday,
8,5,Tuesday,
8,6,Wednesday,
8,7,Thursday,
8,8,Friday,
8,9,Saturday,Bantam Market 1pm-4pm
8,9,Saturday,Volta Market 6pm-9pm
8,9,Saturday,"BB&B Farmington Hills, 61st St. 12pm-4pm"
8,9,Saturday,Williams-Sonoma King of Prussia 12pm-3pm
8,10,Sunday,WFM Darien 3pm-7pm
8,10,Sunday,Woodstock Farmers Market 12pm-4pm
8,10,Sunday,"BB&B Woodbridge, Tysons Corner, West LA 12pm-4pm"
8,11,Monday,"Southern Season Richmond, VA 6pm-9pm"
8,12,Tuesday,
8,13,Wednesday,
8,14,Thursday,
8,15,Friday,
8,16,Saturday,Williams-Sonoma 59th St 2:30pm  5:30pm
8,17,Sunday,Salazon Chocolate 12pm-3pm
8,17,Sunday,"TFM Raleigh, NC 3pm-6pm"
8,18,Monday,
8,19,Tuesday,"TFM Greensboro, NC 2pm-5pm"
8,20,Wednesday,
8,21,Thursday,
8,22,Friday,Vintage on 4th 5pm-8pm
8,23,Saturday,Southern Season Chapel Hill 12pm-3pm
8,23,Saturday,Williams-Sonoma Salt Lake City 1pm-4pm
8,24,Sunday,WFM Nashua 2:30 pm  6:30pm
8,24,Sunday,Williams-Sonoma San Fran CA 2pm-5pm
8,25,Monday,local night WFM Melrose 4pm-7pm
8,26,Tuesday,
8,27,Wednesday,
8,28,Thursday,local night WFM West Hartford 3pm-6pm
8,28,Thursday,"WFM Darien, CT 11am-3pm"
8,29,Friday,
8,30,Saturday,"BB&B East Hanover, 61st St 12pm-4pm"
8,30,Saturday,"TFM Savannah, GA 1pm-4pm"
8,31,Sunday,BB&B West LA 12pm-4pm
9,1,Monday,
9,2,Tuesday,
9,3,Wednesday,
9,4,Thursday,
9,5,Friday,
9,6,Saturday,
9,7,Sunday,
9,8,Monday,
9,9,Tuesday,
9,10,Wednesday,
9,11,Thursday,
9,12,Friday,
9,13,Saturday,"BB&B 12pm-4pm Shaumburg, IL12pm-4pm"
9,13,Saturday,"Williams-Sonoma San Fran, CA 1pm-4pm"
9,14,Sunday,"BB&B 12pm-4pm Farmington Hills, MI 12pm-4pm"
9,15,Monday,"BB&B 12pm-4pm East Hanover, NJ"
9,16,Tuesday,
9,17,Wednesday,
9,18,Thursday,
9,19,Friday,
9,20,Saturday,"Williams-Sonoma Salt Lake City, UT 1pm-4pm"
9,21,Sunday,
9,22,Monday,
9,23,Tuesday,
9,24,Wednesday,
9,25,Thursday,
9,26,Friday,
9,27,Saturday,"BB&B 12pm-4pm Tysons Corner VA, 61st St NY, Woodbridge, NJ, West LA, 12pm-4pm"
9,28,Sunday,Southern Season Chapel Hill 1pm-4pm
9,29,Monday,
9,30,Tuesday,
